totalNotes,sustainedNotes,totalSustainDuration,songLength,selected_instruments,initial_instruments,average_tempo,unit_time,crotchet
528,349,538.9561749999978,05:32,"Corni di Bassetto in F, Bassoon, Trumpet in D, Alto Trombone, Tenor Trombone, Baritone Trombone, Violin I, Violin II, Viola, Cello, Contrabass, Soprano , Alto , Tenor , Bass , Timpani and Organ","Corni di Bassetto in F, Bassoon, Trumpet in D, Alto Trombone, Tenor Trombone, Baritone Trombone, Violin I, Violin II, Viola, Cello, Contrabass, Soprano , Alto , Tenor , Bass , Timpani and Organ",130,0.057692307692307696,0.46153846153846156
End Time,Start Time,Duration,Pitch,Sustained
25.730715625,22.038415625,3.6922999999999995,69,True
26.653790625,25.730715625,0.9230750000000008,81,True
27.576865625,26.653790625,0.9230750000000008,82,True
30.346090625,27.576865625,2.7692249999999987,74,True
31.269165625,30.346090625,0.9230750000000008,73,True
34.961465625,33.115315625,1.8461500000000015,74,True
37.730690625,36.807615625,0.9230750000000043,81,True
38.653765625,37.730690625,0.9230749999999972,82,True
41.422990625,38.653765625,2.7692249999999987,74,True
42.346065625,41.422990625,0.9230750000000043,73,True
46.961440625,44.192215625,2.7692249999999987,62,True
49.730665625,46.961440625,2.7692249999999987,64,True
52.499890625,49.730665625,2.7692249999999987,65,True
55.269115625,52.499890625,2.7692249999999987,67,True
58.038340625000004,55.269115625,2.769225000000006,69,True
60.807565625,58.038340625000004,2.7692249999999987,71,True
63.576790625,60.807565625,2.7692249999999987,72,True
66.346015625,63.576790625,2.769225000000006,74,True
69.115240625,66.346015625,2.7692249999999916,75,True
71.884465625,69.115240625,2.769225000000006,76,True
74.653690625,71.884465625,2.7692249999999916,77,True
77.422915625,74.653690625,2.769225000000006,78,True
80.19214062500001,77.422915625,2.769225000000006,79,True
82.961365625,80.19214062500001,2.7692249999999916,80,True
85.730590625,82.961365625,2.769225000000006,81,True
87.576740625,85.730590625,1.8461499999999944,76,True
115.268990625,110.653615625,4.615375,75,True
116.192065625,115.268990625,0.9230749999999972,75,True
118.038215625,116.192065625,1.8461500000000086,76,True
120.807440625,118.961290625,1.8461499999999944,74,True
124.499740625,121.730515625,2.769225000000006,74,True
125.422815625,124.499740625,0.9230749999999972,74,True
126.345890625,125.422815625,0.9230749999999972,77,True
127.268965625,126.345890625,0.9230750000000114,76,True
130.038190625,127.268965625,2.7692249999999916,76,True
131.884340625,130.961265625,0.923074999999983,74,True
131.884340625,130.038190625,1.8461499999999944,74,True
132.807415625,131.884340625,0.9230750000000114,80,True
137.422790625,132.807415625,4.615375,74,True
137.422790625,135.576640625,1.8461499999999944,74,True
138.345865625,137.422790625,0.923074999999983,77,True
141.115090625,138.345865625,2.769225000000006,77,True
142.961240625,141.115090625,1.8461499999999944,76,True
148.499690625,143.884315625,4.615375,76,True
148.499690625,147.576615625,0.9230750000000114,81,True
149.422765625,148.499690625,0.9230750000000114,79,True
151.268915625,149.422765625,1.8461499999999944,76,True
154.038140625,152.191990625,1.8461500000000228,74,True
192.80653333333333,190.9607,1.8458333333333314,77,True
197.42319999999998,193.73153333333332,3.691666666666663,72,True
198.34611666666666,197.42319999999998,0.9229166666666799,82,True
198.34611666666666,196.50028333333333,1.8458333333333314,72,True
199.2690333333333,198.34611666666666,0.9229166666666515,79,True
202.03778333333332,199.2690333333333,2.7687500000000114,65,True
204.80653333333333,202.03778333333332,2.7687500000000114,63,True
207.57736666666665,204.80653333333333,2.7708333333333144,62,True
208.50028333333333,207.57736666666665,0.9229166666666799,69,True
